TEG_recirc_rate,no_of_equili_stages,temp,stripping_rate,water_content_spec
1.686,2,380,0,1
1.707,2,380,0,1
1.729,2,380,0,1
1.750,2,380,0,1
1.771,2,380,0,1
1.793,2,380,0,1
1.814,2,380,0,1
1.836,2,380,0,1
1.857,2,380,0,1
1.879,2,380,0,1
1.900,2,380,0,1
1.921,2,380,0,1
1.943,2,380,0,1
1.964,2,380,0,1
1.986,2,380,0,1
2.007,2,380,0,1
2.029,2,380,0,1
2.050,2,380,0,1
2.071,2,380,0,1
2.093,2,380,0,1
2.114,2,380,0,1
2.136,2,380,0,1
2.157,2,380,0,1
2.179,2,380,0,1
2.200,2,380,0,1
2.214,2,380,0,1
2.229,2,380,0,1
2.243,2,380,0,1
2.257,2,380,0,1
2.271,2,380,0,1
2.286,2,380,0,1
2.300,2,380,0,1
2.314,2,380,0,1
2.329,2,380,0,1
2.343,2,380,0,1
2.357,2,380,0,1
2.371,2,380,0,1
2.386,2,380,0,1
2.400,2,380,0,1
2.414,2,380,0,1
2.429,2,380,0,1
2.443,2,380,0,1
2.457,2,380,0,1
2.471,2,380,0,1
2.486,2,380,0,1
2.500,2,380,0,1
2.514,2,380,0,1
2.529,2,380,0,1
2.543,2,380,0,1
2.557,2,380,0,1
2.571,2,380,0,1
2.586,2,380,0,1
2.600,2,380,0,1
2.618,2,380,0,1
2.636,2,380,0,1
2.654,2,380,0,1
2.671,2,380,0,1
2.689,2,380,0,1
2.707,2,380,0,1
2.725,2,380,0,1
2.743,2,380,0,1
2.761,2,380,0,1
2.779,2,380,0,1
2.796,2,380,0,1
2.814,2,380,0,1
2.832,2,380,0,1
2.850,2,380,0,1
2.868,2,380,0,1
2.886,2,380,0,1
2.904,2,380,0,1
2.921,2,380,0,1
2.939,2,380,0,1
2.957,2,380,0,1
2.975,2,380,0,1
2.993,2,380,0,1
3.011,2,380,0,1
3.029,2,380,0,1
3.046,2,380,0,1
3.064,2,380,0,1
3.082,2,380,0,1
3.100,2,380,0,1
3.139,2,380,0,1
3.179,2,380,0,1
3.218,2,380,0,1
3.257,2,380,0,1
3.296,2,380,0,1
3.336,2,380,0,1
3.375,2,380,0,1
3.414,2,380,0,1
3.454,2,380,0,1
3.493,2,380,0,1
3.532,2,380,0,1
3.571,2,380,0,1
3.611,2,380,0,1
3.650,2,380,0,1
3.689,2,380,0,1
3.729,2,380,0,1
3.768,2,380,0,1
3.807,2,380,0,1
3.846,2,380,0,1
3.886,2,380,0,1
3.925,2,380,0,1
3.964,2,380,0,1
4.004,2,380,0,1
4.043,2,380,0,1
4.082,2,380,0,1
4.121,2,380,0,1
4.161,2,380,0,1
4.200,2,380,0,1
4.204,2,380,0,1
4.207,2,380,0,1
4.211,2,380,0,1
4.214,2,380,0,1
4.218,2,380,0,1
4.221,2,380,0,1
4.225,2,380,0,1
4.229,2,380,0,1
4.232,2,380,0,1
4.236,2,380,0,1
4.239,2,380,0,1
4.243,2,380,0,1
4.246,2,380,0,1
4.250,2,380,0,1
4.254,2,380,0,1
4.257,2,380,0,1
4.261,2,380,0,1
4.264,2,380,0,1
4.268,2,380,0,1
4.271,2,380,0,1
4.275,2,380,0,1
4.279,2,380,0,1
4.282,2,380,0,1
4.286,2,380,0,1
4.289,2,380,0,1
4.293,2,380,0,1
4.296,2,380,0,1
4.300,2,380,0,1
4.375,2,380,0,1
4.450,2,380,0,1
4.525,2,380,0,1
4.600,2,380,0,1
4.675,2,380,0,1
4.750,2,380,0,1
4.825,2,380,0,1
4.900,2,380,0,1
4.975,2,380,0,1
5.050,2,380,0,1
5.125,2,380,0,1
5.200,2,380,0,1
5.275,2,380,0,1
5.350,2,380,0,1
5.425,2,380,0,1
5.500,2,380,0,1
5.575,2,380,0,1
5.650,2,380,0,1
5.725,2,380,0,1
5.800,2,380,0,1
5.875,2,380,0,1
5.950,2,380,0,1
6.025,2,380,0,1
6.100,2,380,0,1
6.175,2,380,0,1
6.250,2,380,0,1
6.325,2,380,0,1
6.400,2,380,0,1
1.400,2,400,0,1
1.607,2,400,0,1
1.614,2,400,0,1
1.621,2,400,0,1
1.629,2,400,0,1
1.636,2,400,0,1
1.643,2,400,0,1
1.650,2,400,0,1
1.657,2,400,0,1
1.664,2,400,0,1
1.671,2,400,0,1
1.679,2,400,0,1
1.686,2,400,0,1
1.693,2,400,0,1
1.700,2,400,0,1
1.707,2,400,0,1
1.714,2,400,0,1
1.721,2,400,0,1
1.729,2,400,0,1
1.736,2,400,0,1
1.743,2,400,0,1
1.750,2,400,0,1
1.757,2,400,0,1
1.764,2,400,0,1
1.771,2,400,0,1
1.779,2,400,0,1
1.786,2,400,0,1
1.793,2,400,0,1
1.600,2,400,0,1
1.607,2,400,0,1
1.614,2,400,0,1
1.621,2,400,0,1
1.629,2,400,0,1
1.636,2,400,0,1
1.643,2,400,0,1
1.650,2,400,0,1
1.657,2,400,0,1
1.664,2,400,0,1
1.671,2,400,0,1
1.679,2,400,0,1
1.686,2,400,0,1
1.693,2,400,0,1
1.700,2,400,0,1
1.707,2,400,0,1
1.714,2,400,0,1
1.721,2,400,0,1
1.729,2,400,0,1
1.736,2,400,0,1
1.743,2,400,0,1
1.750,2,400,0,1
1.757,2,400,0,1
1.764,2,400,0,1
1.771,2,400,0,1
1.779,2,400,0,1
1.786,2,400,0,1
1.793,2,400,0,1
1.800,2,400,0,1
1.832,2,400,0,1
1.864,2,400,0,1
1.896,2,400,0,1
1.929,2,400,0,1
1.961,2,400,0,1
1.993,2,400,0,1
2.025,2,400,0,1
2.057,2,400,0,1
2.089,2,400,0,1
2.121,2,400,0,1
2.154,2,400,0,1
2.186,2,400,0,1
2.218,2,400,0,1
2.250,2,400,0,1
2.282,2,400,0,1
2.314,2,400,0,1
2.346,2,400,0,1
2.379,2,400,0,1
2.411,2,400,0,1
2.443,2,400,0,1
